canonical_smiles,count,mean,std,min,max
CC(C)(C#N)c1cc(Cn2cncn2)cc(Oc2ccc(OS(N)(=O)=O)cc2)c1,2,8.259834806873123,0.00027930204125138565,8.259637310505756,8.260032303240491
CC(C)(C#N)c1cc(Cn2cncn2)cc(Sc2ccc(OS(N)(=O)=O)c(Br)c2)c1,2,8.301029995663981,0.0,8.301029995663981,8.301029995663981
CC(C)(C#N)c1cc(Cn2cncn2)cc(Sc2ccc(OS(N)(=O)=O)c(Cl)c2)c1,2,8.37685413767786,0.00014626938746919551,8.3767507096021,8.376957565753619
CC(C)(C#N)c1cc(Cn2cncn2)cc(Sc2ccc(OS(N)(=O)=O)cc2)c1,2,8.45599400658341,8.775327197406065e-05,8.455931955649724,8.456056057517094
CC(C)(C#N)c1cc(Cn2cncn2)cc(Sc2ccccc2)c1,2,8.638177772656881,0.00013348949272864603,8.638083381331356,8.638272163982407
CC(C)(C(=O)OC1(C)C2CC3CC(C2)CC1C3)c1cccnc1,2,4.397970031353465,4.245848325308994e-05,4.3979400086720375,4.398000054034892
CC(C)(C(=O)OC12CC3CC(CC(C3)C1)C2)c1cccnc1,2,4.455965957365368,4.8085687408553634e-05,4.455931955649724,4.455999959081013
CC(C)(C(=O)OC1CCCCC1)c1ccncc1,3,3.314018835581765,2.7228001817375294,0.1700000000012729,4.886056647693163
CC(C)(C)CN1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,6.584836349150944,0.1977040959050958,6.356547323513812,6.698991719603
CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1cccnc1,2,4.292214911940571,0.00030393141065918506,4.291999999979078,4.292429823902063
CC(C)(OC(=O)C12CC3CC(CC(C3)C1)C2)c1ccncc1,2,4.698984988012588,2.1190118617844183e-05,4.698970004336019,4.698999971689156
CC(C)=CCc1c(O)cc2oc3cc(O)c(O)c(CC=C(C)C)c3c(=O)c2c1O,2,5.232397260264706,0.10075755585656779,5.161150909262744,5.303643611266668
CC(C)=CCc1cc(C2CC(=O)c3ccc(O)cc3O2)ccc1O,3,4.939067718007222,1.1145661876014257,4.207608310501746,6.221848749616356
CC(C)=CCc1cc2cc(-c3cc(O)cc(O)c3)oc2cc1O,2,4.507239610973162,0.0,4.507239610973162,4.507239610973162
CC(C)C1(c2ccc(N)cc2)CCC(=O)NC1=O,2,4.795940012556608,8.484604324174029e-05,4.795880017344075,4.796000007769141
CC(C)CC(C)OC(=O)Cc1ccncc1,2,5.013114125538204,0.000161418612561247,5.012999985342652,5.013228265733755
CC(C)CC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,5.522919285107823,7.021704093443943e-05,5.522878745280337,5.523000364762793
CC(C)CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,3,6.397961725024899,3.761382651253313e-05,6.3979400086720375,6.3980051577306245
CC(C)CCOC(=O)Cc1ccncc1,2,4.928058929316668,8.352822908453916e-05,4.927999865939462,4.928117992693875
CC(C)CN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O,2,7.207818554740489,0.00029733025384123026,7.207608310501746,7.208028798979232
CC(C)N1C(=O)C2CC2(c2ccc(N)cc2)C1=O,3,5.498303247092391,0.1737825120333242,5.3979400086720375,5.698970004336019
CC(C)Oc1cc([N+](=O)[O-])ccc1N(C)S(C)(=O)=O,2,5.55129368009492,0.0,5.55129368009492,5.55129368009492
CC(C)Oc1cc([N+](=O)[O-])ccc1NS(C)(=O)=O,2,5.231361898752385,0.0,5.231361898752385,5.231361898752385
CC/C(=C(/c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,4,7.066608719683933,0.05973531755541935,6.991399828238082,7.114638779968488
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCN)cc1)c1ccccc1,3,6.4993493319184905,0.8864024734919433,5.987584625237567,7.522878745280337
CC/C(=C(\c1ccc(O)cc1)c1ccc(OCCNC)cc1)c1ccccc1,4,5.164591916055486,0.10978011329611083,5.0,5.221848749616356
CC1(C)C2CCC1(C)C(OC(=O)Cc1ccncc1)C2,2,6.7754151339174,0.33631855632511015,6.537602002101044,7.013228265733755
CC1(C)C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,7.0508052696640675,0.0002761624045697963,7.050609993355087,7.051000545973047
CC1(OC(=O)Cc2cccnc2)C2CC3CC(C2)CC1C3,2,4.966788066352914,0.0002995613187410954,4.966576244513051,4.966999888192777
CC1(c2ccc(N)cc2)CC(=O)NC1=O,2,4.950678137091471,0.06729980727899856,4.903089986991944,4.998266287190999
CC1(c2ccc(N)cc2)CCC(=O)NC1=O,2,3.8698331129502153,0.00023600600314000947,3.869666231504994,3.869999994395436
CC1=C(c2cccnc2)CCc2ccccc21,2,5.2186036948032095,0.0,5.2186036948032095,5.2186036948032095
CC1=C[C@@]2(C)C(=CC1=O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,2,6.236785514690798,0.00030194626811111305,6.236572006437063,6.236999022944533
CC1C(OC(=O)Cc2ccncc2)CC2CC1C2(C)C,2,6.969273760456403,0.0685257273628731,6.920818753952375,7.017728766960431
CC1C/C(=C/c2cccnc2)c2ccccc21,3,4.552894645752943,1.7319595681636615,2.552999999943267,5.552841968657781
CC1CC(c2cccnc2)=Cc2ccccc21,2,5.449649327698385,0.0,5.449649327698385,5.449649327698385
CC1CCC(C(C)C)C(OC(=O)Cc2ccncc2)C1,2,6.56421353222706,0.07859523842788832,6.508638306165727,6.619788758288394
CC1CCC(OC(=O)Cc2ccncc2)C1,2,5.698985205174921,2.14972325350444e-05,5.698970004336019,5.699000406013823
CC1CCC(OC(=O)Cc2ccncc2)CC1,2,6.261439372640169,0.7954518090751563,5.698970004336019,6.823908740944319
CC1Cc2ccccc2C=C1c1cccnc1,2,5.747875447494356,0.0,5.747875447494356,5.747875447494356
